answer_id,text,question_id
BMSB.INST.Q5.A1,Yes,BMSB.INST.Q5
BMSB.INST.Q6.A5,5 or more,BMSB.INST.Q6
BMSB.INST.Q12.A3,Pesco e nettarino,BMSB.INST.Q12
BMSB.INST.Q14.A4,Laghetti e bacini irrigui,BMSB.INST.Q14
BMSB.INSTNEW.Q1.A1,Text,BMSB.INSTNEW.Q1
BMSB.INSTNEW.Q2.A1,Yes,BMSB.INSTNEW.Q2
BMSB.INSTNEW.Q2.A2,No,BMSB.INSTNEW.Q2
BMSB.INSTNEW.Q3.A1,Drupe precoci (Prunus),BMSB.INSTNEW.Q3
BMSB.INSTNEW.Q3.A2,Drupe tardive (Ligustrum),BMSB.INSTNEW.Q3
BMSB.INSTNEW.Q3.A3,"Bacche (Cornus, Rhamnus frangula, Viburnum)",BMSB.INSTNEW.Q3
BMSB.INSTNEW.Q3.A4,"Samare e disamare (Acer, Fraxinus, Ailanthus)",BMSB.INSTNEW.Q3
BMSB.INSTNEW.Q3.A5,"Pomacee (Pyracantha, Crataegus, Cotoneaster)",BMSB.INSTNEW.Q3
BMSB.INSTNEW.Q3.A6,Gelso (Morus),BMSB.INSTNEW.Q3
BMSB.INSTNEW.Q3.A7,Edera,BMSB.INSTNEW.Q3
BMSB.INSTNEW.Q3.A8,Nocciolo,BMSB.INSTNEW.Q3
BMSB.INSTNEW.Q3.A9,Other,BMSB.INSTNEW.Q3
BMSB.INSTNEW.Q4.A1,Yes,BMSB.INSTNEW.Q4
BMSB.INSTNEW.Q4.A2,No,BMSB.INSTNEW.Q4
BMSB.INSTNEW.Q5.A1,Sempreverdi,BMSB.INSTNEW.Q5
BMSB.INSTNEW.Q5.A2,"Fagacee, Ulmacee, Malvales (quercia, olmo, tiglio)",BMSB.INSTNEW.Q5
BMSB.INSTNEW.Q5.A3,Salicacee (pioppo e salice),BMSB.INSTNEW.Q5
BMSB.INSTNEW.Q5.A4,"Piante da frutto (fico, caco, pomacee e drupacee)",BMSB.INSTNEW.Q5
BMSB.INSTNEW.Q5.A5,Catalpa e Paulownia,BMSB.INSTNEW.Q5
BMSB.INSTNEW.Q5.A6,Other,BMSB.INSTNEW.Q5
BMSB.INSTNEW.Q6.A1,Yes,BMSB.INSTNEW.Q6
BMSB.INSTNEW.Q6.A2,No,BMSB.INSTNEW.Q6
BMSB.INSTNEW.Q7.A1,1,BMSB.INSTNEW.Q7
BMSB.INSTNEW.Q7.A2,2,BMSB.INSTNEW.Q7
BMSB.INSTNEW.Q7.A3,3,BMSB.INSTNEW.Q7
BMSB.INSTNEW.Q7.A4,4,BMSB.INSTNEW.Q7
BMSB.INSTNEW.Q7.A5,5 or more,BMSB.INSTNEW.Q7
BMSB.INSTNEW.Q8.A1,Yes,BMSB.INSTNEW.Q8
BMSB.INSTNEW.Q8.A2,No,BMSB.INSTNEW.Q8
BMSB.INSTNEW.Q9.A1,1,BMSB.INSTNEW.Q9
BMSB.INSTNEW.Q9.A2,2,BMSB.INSTNEW.Q9
BMSB.INSTNEW.Q9.A3,3,BMSB.INSTNEW.Q9
BMSB.INSTNEW.Q9.A4,4,BMSB.INSTNEW.Q9
BMSB.INSTNEW.Q9.A5,5 or more,BMSB.INSTNEW.Q9
BMSB.INSTNEW.Q10.A1,Yes,BMSB.INSTNEW.Q10
BMSB.INSTNEW.Q10.A2,No,BMSB.INSTNEW.Q10
BMSB.INSTNEW.Q11.A1,Soia,BMSB.INSTNEW.Q11
BMSB.INSTNEW.Q11.A2,Leguminose,BMSB.INSTNEW.Q11
BMSB.INSTNEW.Q11.A3,Mais,BMSB.INSTNEW.Q11
BMSB.INSTNEW.Q11.A4,Cereali autunno-vernini,BMSB.INSTNEW.Q11
BMSB.INSTNEW.Q11.A5,Pomodoro,BMSB.INSTNEW.Q11
BMSB.INSTNEW.Q11.A6,Colza,BMSB.INSTNEW.Q11
BMSB.INSTNEW.Q11.A7,Orticole,BMSB.INSTNEW.Q11
BMSB.INSTNEW.Q11.A8,Other,BMSB.INSTNEW.Q11
BMSB.INSTNEW.Q12.A1,Yes,BMSB.INSTNEW.Q12
BMSB.INSTNEW.Q12.A2,No,BMSB.INSTNEW.Q12
BMSB.INSTNEW.Q13.A1,Melo,BMSB.INSTNEW.Q13
BMSB.INSTNEW.Q13.A2,Pero,BMSB.INSTNEW.Q13
BMSB.INSTNEW.Q13.A3,Pesco e nettarino,BMSB.INSTNEW.Q13
BMSB.INSTNEW.Q13.A4,Albicocco,BMSB.INSTNEW.Q13
BMSB.INSTNEW.Q13.A5,Susino,BMSB.INSTNEW.Q13
BMSB.INSTNEW.Q13.A6,Ciliegio,BMSB.INSTNEW.Q13
BMSB.INSTNEW.Q13.A7,Vite,BMSB.INSTNEW.Q13
BMSB.INSTNEW.Q13.A8,Actinidia,BMSB.INSTNEW.Q13
BMSB.INSTNEW.Q13.A9,Caco,BMSB.INSTNEW.Q13
BMSB.INSTNEW.Q13.A10,Noce,BMSB.INSTNEW.Q13
BMSB.INSTNEW.Q13.A11,Pioppo,BMSB.INSTNEW.Q13
BMSB.INSTNEW.Q13.A12,Paulownia,BMSB.INSTNEW.Q13
BMSB.INSTNEW.Q13.A13,Other,BMSB.INSTNEW.Q13
BMSB.INSTNEW.Q14.A1,Yes,BMSB.INSTNEW.Q14
BMSB.INSTNEW.Q14.A2,No,BMSB.INSTNEW.Q14
BMSB.INSTNEW.Q15.A1,Argine fiume,BMSB.INSTNEW.Q15
BMSB.INSTNEW.Q15.A2,Argine canale,BMSB.INSTNEW.Q15
BMSB.INSTNEW.Q15.A3,Fossi e scoline,BMSB.INSTNEW.Q15
BMSB.INSTNEW.Q15.A4,Laghetti e bacini irrigui,BMSB.INSTNEW.Q15
BMSB.INSTNEW.Q15.A5,Other,BMSB.INSTNEW.Q15
BMSB.INSTNEW.Q16.A1,Text,BMSB.INSTNEW.Q16
